Image URL,ID,DATASET,TOOL,MUT_EXT,ITER,Expected,Predicted,ASS 1,ASS 2,Misclass Human 1,Misclass Human 2,Valid Human 1,Valid Human 2,Label Preservation?,Validity?
150_MNST_gan_high_iteration219_X0_Y2,150,MNST,gan,high,219,0,2,0,Not a Digit,0,1,0,1,N/A,N/A
0_MNST_vae_low_iteration111_X7_Y9,0,MNST,vae,low,111,7,9,4,Not a Digit,1,1,0,1,no,N/A
173_MNST_gan_high_iteration103_X4_Y7,173,MNST,gan,high,103,4,7,4,Not a Digit,0,1,0,1,N/A,N/A
3_MNST_vae_low_iteration222_X5_Y3,3,MNST,vae,low,222,5,3,5,5,0,0,0,0,yes,yes
81_MNST_sd_high_iteration1_X8_Y0,81,MNST,sd,high,1,8,0,6,6,1,1,0,0,no,yes
167_MNST_gan_high_iteration250_X6_Y0,167,MNST,gan,high,250,6,0,6,6,0,0,0,0,yes,yes
253_MNST_vae_high_iteration52_X8_Y2,253,MNST,vae,high,52,8,2,4,8,1,0,0,0,N/A,yes
133_MNST_sd_low_iteration1_X7_Y4,133,MNST,sd,low,1,7,4,4,4,1,1,0,0,no,yes
48_MNST_sd_high_iteration45_X9_Y4,48,MNST,sd,high,45,9,4,9,Not a Digit,0,1,0,1,N/A,N/A
117_MNST_sd_low_iteration22_X9_Y4,117,MNST,sd,low,22,9,4,9,9,0,0,0,0,yes,yes
147_MNST_gan_high_iteration153_X7_Y1,147,MNST,gan,high,153,7,1,7,7,0,0,0,0,yes,yes
221_MNST_gan_high_iteration68_X8_Y9,221,MNST,gan,high,68,8,9,9,9,1,1,0,0,no,yes
225_MNST_gan_high_iteration150_X7_Y1,225,MNST,gan,high,150,7,1,Not a Digit,3,1,1,1,0,no,N/A
47_MNST_sd_high_iteration9_X1_Y2,47,MNST,sd,high,9,1,2,Not a Digit,1,1,0,1,0,N/A,N/A
285_MNST_vae_high_iteration78_X5_Y9,285,MNST,vae,high,78,5,9,Not a Digit,5,1,0,1,0,N/A,N/A
266_MNST_vae_high_iteration134_X1_Y6,266,MNST,vae,high,134,1,6,Not a Digit,6,1,1,1,0,no,N/A
135_MNST_gan_low_iteration207_X7_Y2,135,MNST,gan,low,207,7,2,Not a Digit,0,1,1,1,0,no,N/A
95_MNST_sd_low_iteration1_X4_Y5,95,MNST,sd,low,1,4,5,Not a Digit,Not a Digit,1,1,1,1,no,no
304_MNST_vae_high_iteration69_X1_Y8,304,MNST,vae,high,69,1,8,8,1,1,0,0,0,N/A,yes
32_MNST_sd_high_iteration41_X8_Y2,32,MNST,sd,high,41,8,2,Not a Digit,8,1,0,1,0,N/A,N/A
182_MNST_gan_high_iteration86_X2_Y1,182,MNST,gan,high,86,2,1,2,2,0,0,0,0,yes,yes
174_MNST_gan_high_iteration140_X8_Y3,174,MNST,gan,high,140,8,3,8,8,0,0,0,0,yes,yes
13_MNST_sd_high_iteration68_X5_Y3,13,MNST,sd,high,68,5,3,3,5,1,0,0,0,N/A,yes
228_MNST_gan_high_iteration166_X1_Y4,228,MNST,gan,high,166,1,4,1,1,0,0,0,0,yes,yes
267_MNST_vae_high_iteration65_X2_Y1,267,MNST,vae,high,65,2,1,2,2,0,0,0,0,yes,yes
274_MNST_vae_high_iteration45_X8_Y3,274,MNST,vae,high,45,8,3,8,8,0,0,0,0,yes,yes
12_MNST_sd_high_iteration1_X8_Y2,12,MNST,sd,high,1,8,2,Not a Digit,Not a Digit,1,1,1,1,no,no
63_MNST_sd_high_iteration53_X8_Y9,63,MNST,sd,high,53,8,9,8,Not a Digit,0,1,0,1,N/A,N/A
242_MNST_vae_high_iteration26_X9_Y4,242,MNST,vae,high,26,9,4,9,9,0,0,0,0,yes,yes
23_MNST_sd_high_iteration34_X9_Y8,23,MNST,sd,high,34,9,8,Not a Digit,Not a Digit,1,1,1,1,no,no
40_MNST_sd_high_iteration2_X1_Y4,40,MNST,sd,high,2,1,4,Not a Digit,Not a Digit,1,1,1,1,no,no
67_MNST_sd_high_iteration56_X1_Y8,67,MNST,sd,high,56,1,8,Not a Digit,Not a Digit,1,1,1,1,no,no
337_MNST_vae_high_iteration31_X9_Y4,337,MNST,vae,high,31,9,4,4,4,1,1,0,0,no,yes
308_MNST_vae_high_iteration71_X7_Y1,308,MNST,vae,high,71,7,1,7,1,0,1,0,0,N/A,yes
29_MNST_sd_high_iteration17_X6_Y1,29,MNST,sd,high,17,6,1,6,Not a Digit,0,1,0,1,N/A,N/A
118_MNST_sd_low_iteration146_X4_Y8,118,MNST,sd,low,146,4,8,Not a Digit,Not a Digit,1,1,1,1,no,no
106_MNST_sd_low_iteration27_X8_Y9,106,MNST,sd,low,27,8,9,9,9,1,1,0,0,no,yes
80_MNST_sd_high_iteration31_X4_Y1,80,MNST,sd,high,31,4,1,Not a Digit,Not a Digit,1,1,1,1,no,no
15_MNST_sd_high_iteration27_X1_Y6,15,MNST,sd,high,27,1,6,1,1,0,0,0,0,yes,yes
153_MNST_gan_high_iteration154_X9_Y4,153,MNST,gan,high,154,9,4,9,4,0,1,0,0,N/A,yes
312_MNST_vae_high_iteration87_X1_Y2,312,MNST,vae,high,87,1,2,Not a Digit,1,1,0,1,0,N/A,N/A
93_MNST_sd_low_iteration68_X9_Y4,93,MNST,sd,low,68,9,4,4,4,1,1,0,0,no,yes
105_MNST_sd_low_iteration105_X8_Y9,105,MNST,sd,low,105,8,9,9,Not a Digit,1,1,0,1,no,N/A
258_MNST_vae_high_iteration70_X9_Y4,258,MNST,vae,high,70,9,4,4,Not a Digit,1,1,0,1,no,N/A
199_MNST_gan_high_iteration246_X3_Y5,199,MNST,gan,high,246,3,5,3,3,0,0,0,0,yes,yes
44_MNST_sd_high_iteration18_X1_Y6,44,MNST,sd,high,18,1,6,1,Not a Digit,0,1,0,1,N/A,N/A
332_MNST_vae_high_iteration90_X9_Y4,332,MNST,vae,high,90,9,4,4,4,1,1,0,0,no,yes
69_MNST_sd_high_iteration19_X8_Y3,69,MNST,sd,high,19,8,3,9,9,1,1,0,0,no,yes
330_MNST_vae_high_iteration91_X1_Y7,330,MNST,vae,high,91,1,7,1,7,0,1,0,0,N/A,yes
139_MNST_gan_low_iteration90_X4_Y9,139,MNST,gan,low,90,4,9,9,4,1,0,0,0,N/A,yes
30_MNST_sd_high_iteration76_X8_Y2,30,MNST,sd,high,76,8,2,9,2,1,1,0,0,no,yes
180_MNST_gan_high_iteration138_X9_Y4,180,MNST,gan,high,138,9,4,4,1,1,1,0,0,no,yes
165_MNST_gan_high_iteration94_X8_Y4,165,MNST,gan,high,94,8,4,8,8,0,0,0,0,yes,yes
224_MNST_gan_high_iteration72_X3_Y9,224,MNST,gan,high,72,3,9,3,3,0,0,0,0,yes,yes
186_MNST_gan_high_iteration77_X4_Y9,186,MNST,gan,high,77,4,9,4,9,0,1,0,0,N/A,yes
49_MNST_sd_high_iteration1_X9_Y4,49,MNST,sd,high,1,9,4,Not a Digit,Not a Digit,1,1,1,1,no,no
215_MNST_gan_high_iteration167_X6_Y4,215,MNST,gan,high,167,6,4,Not a Digit,6,1,0,1,0,N/A,N/A
166_MNST_gan_high_iteration107_X7_Y0,166,MNST,gan,high,107,7,0,0,2,1,1,0,0,no,yes
46_MNST_sd_high_iteration19_X3_Y2,46,MNST,sd,high,19,3,2,Not a Digit,3,1,0,1,0,N/A,N/A
170_MNST_gan_high_iteration121_X4_Y9,170,MNST,gan,high,121,4,9,4,4,0,0,0,0,yes,yes
286_MNST_vae_high_iteration48_X1_Y8,286,MNST,vae,high,48,1,8,8,8,1,1,0,0,no,yes
217_MNST_gan_high_iteration118_X4_Y9,217,MNST,gan,high,118,4,9,4,9,0,1,0,0,N/A,yes
251_MNST_vae_high_iteration30_X4_Y9,251,MNST,vae,high,30,4,9,4,4,0,0,0,0,yes,yes
249_MNST_vae_high_iteration72_X8_Y2,249,MNST,vae,high,72,8,2,8,8,0,0,0,0,yes,yes
223_MNST_gan_high_iteration146_X3_Y8,223,MNST,gan,high,146,3,8,3,3,0,0,0,0,yes,yes
87_MNST_sd_high_iteration45_X4_Y8,87,MNST,sd,high,45,4,8,Not a Digit,Not a Digit,1,1,1,1,no,no
194_MNST_gan_high_iteration71_X9_Y4,194,MNST,gan,high,71,9,4,4,4,1,1,0,0,no,yes
158_MNST_gan_high_iteration207_X6_Y0,158,MNST,gan,high,207,6,0,6,6,0,0,0,0,yes,yes
121_MNST_sd_low_iteration1_X3_Y2,121,MNST,sd,low,1,3,2,8,8,1,1,0,0,no,yes
238_MNST_gan_high_iteration32_X4_Y9,238,MNST,gan,high,32,4,9,4,4,0,0,0,0,yes,yes
89_MNST_sd_high_iteration19_X5_Y3,89,MNST,sd,high,19,5,3,5,5,0,0,0,0,yes,yes
84_MNST_sd_high_iteration4_X7_Y0,84,MNST,sd,high,4,7,0,0,Not a Digit,1,1,0,1,no,N/A
155_MNST_gan_high_iteration47_X4_Y9,155,MNST,gan,high,47,4,9,4,4,0,0,0,0,yes,yes
152_MNST_gan_high_iteration129_X5_Y6,152,MNST,gan,high,129,5,6,6,6,1,1,0,0,no,yes
241_MNST_vae_high_iteration44_X2_Y0,241,MNST,vae,high,44,2,0,6,Not a Digit,1,1,0,1,no,N/A
128_MNST_sd_low_iteration18_X8_Y9,128,MNST,sd,low,18,8,9,3,Not a Digit,1,1,0,1,no,N/A
324_MNST_vae_high_iteration39_X8_Y2,324,MNST,vae,high,39,8,2,8,8,0,0,0,0,yes,yes
222_MNST_gan_high_iteration77_X3_Y8,222,MNST,gan,high,77,3,8,9,8,1,1,0,0,no,yes
132_MNST_sd_low_iteration1_X9_Y7,132,MNST,sd,low,1,9,7,2,Not a Digit,1,1,0,1,no,N/A
127_MNST_sd_low_iteration168_X1_Y6,127,MNST,sd,low,168,1,6,Not a Digit,Not a Digit,1,1,1,1,no,no
131_MNST_sd_low_iteration167_X2_Y0,131,MNST,sd,low,167,2,0,2,2,0,0,0,0,yes,yes
290_MNST_vae_high_iteration12_X4_Y8,290,MNST,vae,high,12,4,8,4,4,0,0,0,0,yes,yes
216_MNST_gan_high_iteration83_X8_Y3,216,MNST,gan,high,83,8,3,8,8,0,0,0,0,yes,yes
156_MNST_gan_high_iteration41_X2_Y3,156,MNST,gan,high,41,2,3,Not a Digit,Not a Digit,1,1,1,1,no,no
257_MNST_vae_high_iteration87_X1_Y8,257,MNST,vae,high,87,1,8,Not a Digit,Not a Digit,1,1,1,1,no,no
218_MNST_gan_high_iteration91_X9_Y4,218,MNST,gan,high,91,9,4,Not a Digit,4,1,1,1,0,no,N/A
42_MNST_sd_high_iteration46_X7_Y2,42,MNST,sd,high,46,7,2,Not a Digit,Not a Digit,1,1,1,1,no,no
288_MNST_vae_high_iteration32_X3_Y9,288,MNST,vae,high,32,3,9,9,9,1,1,0,0,no,yes
172_MNST_gan_high_iteration104_X4_Y1,172,MNST,gan,high,104,4,1,Not a Digit,Not a Digit,1,1,1,1,no,no
157_MNST_gan_high_iteration116_X8_Y9,157,MNST,gan,high,116,8,9,Not a Digit,9,1,1,1,0,no,N/A
6_MNST_sd_high_iteration2_X3_Y1,6,MNST,sd,high,2,3,1,Not a Digit,Not a Digit,1,1,1,1,no,no
195_MNST_gan_high_iteration78_X5_Y3,195,MNST,gan,high,78,5,3,5,5,0,0,0,0,yes,yes
159_MNST_gan_high_iteration35_X7_Y2,159,MNST,gan,high,35,7,2,Not a Digit,Not a Digit,1,1,1,1,no,no
227_MNST_gan_high_iteration134_X2_Y3,227,MNST,gan,high,134,2,3,2,2,0,0,0,0,yes,yes
39_MNST_sd_high_iteration28_X0_Y6,39,MNST,sd,high,28,0,6,0,0,0,0,0,0,yes,yes
119_MNST_sd_low_iteration22_X8_Y6,119,MNST,sd,low,22,8,6,8,8,0,0,0,0,yes,yes
66_MNST_sd_high_iteration34_X8_Y9,66,MNST,sd,high,34,8,9,4,9,1,1,0,0,no,yes
168_MNST_gan_high_iteration138_X4_Y7,168,MNST,gan,high,138,4,7,4,9,0,1,0,0,N/A,yes
38_MNST_sd_high_iteration41_X1_Y2,38,MNST,sd,high,41,1,2,1,Not a Digit,0,1,0,1,N/A,N/A
43_MNST_sd_high_iteration18_X3_Y5,43,MNST,sd,high,18,3,5,3,3,0,0,0,0,yes,yes
292_MNST_vae_high_iteration96_X7_Y9,292,MNST,vae,high,96,7,9,2,Not a Digit,1,1,0,1,no,N/A
60_MNST_sd_high_iteration10_X3_Y7,60,MNST,sd,high,10,3,7,3,3,0,0,0,0,yes,yes
213_MNST_gan_high_iteration84_X8_Y9,213,MNST,gan,high,84,8,9,8,8,0,0,0,0,yes,yes
200_MNST_gan_high_iteration160_X4_Y1,200,MNST,gan,high,160,4,1,4,Not a Digit,0,1,0,1,N/A,N/A
214_MNST_gan_high_iteration116_X6_Y0,214,MNST,gan,high,116,6,0,6,6,0,0,0,0,yes,yes
120_MNST_sd_low_iteration1_X9_Y3,120,MNST,sd,low,1,9,3,Not a Digit,Not a Digit,1,1,1,1,no,no
2_MNST_vae_low_iteration14_X8_Y0,2,MNST,vae,low,14,8,0,8,8,0,0,0,0,yes,yes
9_MNST_sd_high_iteration8_X2_Y7,9,MNST,sd,high,8,2,7,Not a Digit,Not a Digit,1,1,1,1,no,no
178_MNST_gan_high_iteration91_X8_Y3,178,MNST,gan,high,91,8,3,Not a Digit,8,1,0,1,0,N/A,N/A
90_MNST_sd_high_iteration11_X6_Y8,90,MNST,sd,high,11,6,8,Not a Digit,Not a Digit,1,1,1,1,no,no
294_MNST_vae_high_iteration132_X9_Y4,294,MNST,vae,high,132,9,4,4,4,1,1,0,0,no,yes
247_MNST_vae_high_iteration59_X5_Y3,247,MNST,vae,high,59,5,3,5,5,0,0,0,0,yes,yes
164_MNST_gan_high_iteration149_X1_Y7,164,MNST,gan,high,149,1,7,1,1,0,0,0,0,yes,yes
125_MNST_sd_low_iteration131_X6_Y2,125,MNST,sd,low,131,6,2,0,0,1,1,0,0,no,yes
71_MNST_sd_high_iteration34_X6_Y2,71,MNST,sd,high,34,6,2,6,6,0,0,0,0,yes,yes
271_MNST_vae_high_iteration38_X5_Y8,271,MNST,vae,high,38,5,8,8,8,1,1,0,0,no,yes
209_MNST_gan_high_iteration80_X8_Y2,209,MNST,gan,high,80,8,2,8,8,0,0,0,0,yes,yes
146_MNST_gan_high_iteration69_X7_Y2,146,MNST,gan,high,69,7,2,7,7,0,0,0,0,yes,yes
177_MNST_gan_high_iteration47_X4_Y9,177,MNST,gan,high,47,4,9,4,4,0,0,0,0,yes,yes
335_MNST_vae_high_iteration69_X0_Y6,335,MNST,vae,high,69,0,6,6,Not a Digit,1,1,0,1,no,N/A
58_MNST_sd_high_iteration1_X7_Y2,58,MNST,sd,high,1,7,2,2,Not a Digit,1,1,0,1,no,N/A
260_MNST_vae_high_iteration49_X8_Y3,260,MNST,vae,high,49,8,3,8,8,0,0,0,0,yes,yes
103_MNST_sd_low_iteration1_X0_Y6,103,MNST,sd,low,1,0,6,Not a Digit,1,1,1,1,0,no,N/A
252_MNST_vae_high_iteration43_X4_Y9,252,MNST,vae,high,43,4,9,4,4,0,0,0,0,yes,yes
278_MNST_vae_high_iteration40_X4_Y9,278,MNST,vae,high,40,4,9,4,4,0,0,0,0,yes,yes
273_MNST_vae_high_iteration34_X3_Y7,273,MNST,vae,high,34,3,7,3,3,0,0,0,0,yes,yes
53_MNST_sd_high_iteration29_X3_Y5,53,MNST,sd,high,29,3,5,Not a Digit,5,1,1,1,0,no,N/A
190_MNST_gan_high_iteration79_X2_Y1,190,MNST,gan,high,79,2,1,2,2,0,0,0,0,yes,yes
196_MNST_gan_high_iteration80_X2_Y3,196,MNST,gan,high,80,2,3,Not a Digit,3,1,1,1,0,no,N/A
16_MNST_sd_high_iteration51_X4_Y2,16,MNST,sd,high,51,4,2,Not a Digit,4,1,0,1,0,N/A,N/A
154_MNST_gan_high_iteration63_X4_Y1,154,MNST,gan,high,63,4,1,4,4,0,0,0,0,yes,yes
289_MNST_vae_high_iteration66_X7_Y1,289,MNST,vae,high,66,7,1,7,1,0,1,0,0,N/A,yes
277_MNST_vae_high_iteration33_X2_Y6,277,MNST,vae,high,33,2,6,Not a Digit,Not a Digit,1,1,1,1,no,no
283_MNST_vae_high_iteration34_X2_Y4,283,MNST,vae,high,34,2,4,4,4,1,1,0,0,no,yes
57_MNST_sd_high_iteration1_X6_Y1,57,MNST,sd,high,1,6,1,Not a Digit,1,1,1,1,0,no,N/A
73_MNST_sd_high_iteration13_X3_Y5,73,MNST,sd,high,13,3,5,6,3,1,0,0,0,N/A,yes
202_MNST_gan_high_iteration159_X6_Y0,202,MNST,gan,high,159,6,0,Not a Digit,6,1,0,1,0,N/A,N/A
11_MNST_sd_high_iteration5_X1_Y6,11,MNST,sd,high,5,1,6,Not a Digit,Not a Digit,1,1,1,1,no,no
35_MNST_sd_high_iteration3_X0_Y6,35,MNST,sd,high,3,0,6,Not a Digit,8,1,1,1,0,no,N/A
204_MNST_gan_high_iteration74_X3_Y5,204,MNST,gan,high,74,3,5,5,5,1,1,0,0,no,yes
36_MNST_sd_high_iteration16_X0_Y2,36,MNST,sd,high,16,0,2,6,9,1,1,0,0,no,yes
50_MNST_sd_high_iteration48_X9_Y7,50,MNST,sd,high,48,9,7,7,7,1,1,0,0,no,yes
37_MNST_sd_high_iteration8_X7_Y9,37,MNST,sd,high,8,7,9,4,4,1,1,0,0,no,yes
233_MNST_gan_high_iteration19_X8_Y2,233,MNST,gan,high,19,8,2,8,8,0,0,0,0,yes,yes
115_MNST_sd_low_iteration34_X5_Y3,115,MNST,sd,low,34,5,3,5,3,0,1,0,0,N/A,yes
275_MNST_vae_high_iteration44_X8_Y5,275,MNST,vae,high,44,8,5,8,8,0,0,0,0,yes,yes
171_MNST_gan_high_iteration120_X1_Y8,171,MNST,gan,high,120,1,8,Not a Digit,Not a Digit,1,1,1,1,no,no
79_MNST_sd_high_iteration24_X9_Y7,79,MNST,sd,high,24,9,7,Not a Digit,Not a Digit,1,1,1,1,no,no
181_MNST_gan_high_iteration143_X7_Y1,181,MNST,gan,high,143,7,1,7,Not a Digit,0,1,0,1,N/A,N/A
239_MNST_vae_high_iteration67_X5_Y6,239,MNST,vae,high,67,5,6,6,6,1,1,0,0,no,yes
243_MNST_vae_high_iteration54_X6_Y0,243,MNST,vae,high,54,6,0,6,6,0,0,0,0,yes,yes
244_MNST_vae_high_iteration15_X8_Y7,244,MNST,vae,high,15,8,7,8,8,0,0,0,0,yes,yes
297_MNST_vae_high_iteration56_X6_Y5,297,MNST,vae,high,56,6,5,6,8,0,1,0,0,N/A,yes
296_MNST_vae_high_iteration58_X9_Y4,296,MNST,vae,high,58,9,4,9,9,0,0,0,0,yes,yes
230_MNST_gan_high_iteration230_X1_Y9,230,MNST,gan,high,230,1,9,1,Not a Digit,0,1,0,1,N/A,N/A
188_MNST_gan_high_iteration54_X9_Y7,188,MNST,gan,high,54,9,7,9,9,0,0,0,0,yes,yes
54_MNST_sd_high_iteration10_X6_Y1,54,MNST,sd,high,10,6,1,Not a Digit,Not a Digit,1,1,1,1,no,no
329_MNST_vae_high_iteration68_X5_Y9,329,MNST,vae,high,68,5,9,5,9,0,1,0,0,N/A,yes
107_MNST_sd_low_iteration113_X1_Y7,107,MNST,sd,low,113,1,7,1,Not a Digit,0,1,0,1,N/A,N/A
45_MNST_sd_high_iteration53_X9_Y2,45,MNST,sd,high,53,9,2,2,Not a Digit,1,1,0,1,no,N/A
281_MNST_vae_high_iteration65_X5_Y3,281,MNST,vae,high,65,5,3,5,3,0,1,0,0,N/A,yes
307_MNST_vae_high_iteration80_X4_Y6,307,MNST,vae,high,80,4,6,Not a Digit,Not a Digit,1,1,1,1,no,no
123_MNST_sd_low_iteration1_X3_Y5,123,MNST,sd,low,1,3,5,5,5,1,1,0,0,no,yes
160_MNST_gan_high_iteration36_X8_Y0,160,MNST,gan,high,36,8,0,Not a Digit,8,1,0,1,0,N/A,N/A
94_MNST_sd_low_iteration13_X3_Y5,94,MNST,sd,low,13,3,5,5,5,1,1,0,0,no,yes
265_MNST_vae_high_iteration64_X7_Y4,265,MNST,vae,high,64,7,4,7,7,0,0,0,0,yes,yes
143_MNST_gan_high_iteration49_X2_Y3,143,MNST,gan,high,49,2,3,Not a Digit,Not a Digit,1,1,1,1,no,no
301_MNST_vae_high_iteration54_X4_Y7,301,MNST,vae,high,54,4,7,4,4,0,0,0,0,yes,yes
52_MNST_sd_high_iteration9_X9_Y8,52,MNST,sd,high,9,9,8,8,8,1,1,0,0,no,yes
280_MNST_vae_high_iteration42_X4_Y9,280,MNST,vae,high,42,4,9,4,4,0,0,0,0,yes,yes
291_MNST_vae_high_iteration97_X5_Y9,291,MNST,vae,high,97,5,9,5,5,0,0,0,0,yes,yes
8_MNST_sd_high_iteration25_X5_Y3,8,MNST,sd,high,25,5,3,5,5,0,0,0,0,yes,yes
141_MNST_gan_low_iteration142_X4_Y9,141,MNST,gan,low,142,4,9,Not a Digit,4,1,0,1,0,N/A,N/A
74_MNST_sd_high_iteration1_X2_Y3,74,MNST,sd,high,1,2,3,Not a Digit,Not a Digit,1,1,1,1,no,no
99_MNST_sd_low_iteration1_X6_Y0,99,MNST,sd,low,1,6,0,Not a Digit,0,1,1,1,0,no,N/A
322_MNST_vae_high_iteration72_X2_Y8,322,MNST,vae,high,72,2,8,Not a Digit,8,1,1,1,0,no,N/A
234_MNST_gan_high_iteration80_X1_Y8,234,MNST,gan,high,80,1,8,Not a Digit,1,1,0,1,0,N/A,N/A
319_MNST_vae_high_iteration35_X7_Y0,319,MNST,vae,high,35,7,0,Not a Digit,0,1,1,1,0,no,N/A
100_MNST_sd_low_iteration18_X1_Y4,100,MNST,sd,low,18,1,4,Not a Digit,Not a Digit,1,1,1,1,no,no
