Image URL,ID,DATASET,TOOL,MUT_EXT,ITER,Expected,Predicted,ASS 1,ASS 2,Misclass Human 1,Misclass Human 2,Valid Human 1,Valid Human 2,Label Preservation?,Validity?
93_CIF_sd_low_iteration1_X2_Y4,93,CIF,sd,low,1,2,4,6,not a real-world object,1,1,0,1,no,N/A
63_CIF_sd_low_iteration128_X3_Y5,63,CIF,sd,low,128,3,5,3,3,0,0,0,0,yes,yes
326_CIF_sd_high_iteration1_X6_Y4,326,CIF,sd,high,1,6,4,6,not a real-world object,0,1,0,1,N/A,N/A
247_CIF_vae_high_iteration10_X5_Y3,247,CIF,vae,high,10,5,3,5,5,0,0,0,0,yes,yes
205_CIF_gan_low_iteration1_X2_Y4,205,CIF,gan,low,1,2,4,9,not a real-world object,1,1,0,1,no,N/A
176_CIF_gan_high_iteration3_X1_Y9,176,CIF,gan,high,3,1,9,1,9,0,1,0,0,N/A,yes
192_CIF_gan_low_iteration10_X3_Y5,192,CIF,gan,low,10,3,5,3,5,0,1,0,0,N/A,yes
95_CIF_sd_low_iteration138_X7_Y3,95,CIF,sd,low,138,7,3,7,7,0,0,0,0,yes,yes
76_CIF_sd_low_iteration18_X6_Y3,76,CIF,sd,low,18,6,3,6,4,0,1,0,0,N/A,yes
271_CIF_sd_high_iteration15_X0_Y2,271,CIF,sd,high,15,0,2,0,0,0,0,0,0,yes,yes
4_CIF_vae_low_iteration137_X8_Y5,4,CIF,vae,low,137,8,5,0,8,1,0,0,0,N/A,yes
181_CIF_gan_low_iteration1_X0_Y8,181,CIF,gan,low,1,0,8,8,8,1,1,0,0,no,yes
328_CIF_sd_high_iteration1_X5_Y3,328,CIF,sd,high,1,5,3,4,4,1,1,0,0,no,yes
67_CIF_sd_low_iteration83_X3_Y2,67,CIF,sd,low,83,3,2,5,5,1,1,0,0,no,yes
268_CIF_sd_high_iteration10_X2_Y4,268,CIF,sd,high,10,2,4,2,2,0,0,0,0,yes,yes
230_CIF_vae_high_iteration47_X5_Y3,230,CIF,vae,high,47,5,3,not a real-world object,not a real-world object,1,1,1,1,no,no
321_CIF_sd_high_iteration15_X1_Y3,321,CIF,sd,high,15,1,3,1,1,0,0,0,0,yes,yes
216_CIF_gan_low_iteration52_X3_Y0,216,CIF,gan,low,52,3,0,not a real-world object,not a real-world object,1,1,1,1,no,no
103_CIF_sd_low_iteration94_X3_Y4,103,CIF,sd,low,94,3,4,not a real-world object,not a real-world object,1,1,1,1,no,no
337_CIF_sd_high_iteration10_X4_Y3,337,CIF,sd,high,10,4,3,not a real-world object,not a real-world object,1,1,1,1,no,no
195_CIF_gan_low_iteration204_X5_Y3,195,CIF,gan,low,204,5,3,4,not a real-world object,1,1,0,1,no,N/A
113_CIF_gan_high_iteration1_X3_Y5,113,CIF,gan,high,1,3,5,not a real-world object,not a real-world object,1,1,1,1,no,no
255_CIF_vae_high_iteration14_X0_Y2,255,CIF,vae,high,14,0,2,0,0,0,0,0,0,yes,yes
141_CIF_gan_high_iteration41_X1_Y3,141,CIF,gan,high,41,1,3,not a real-world object,not a real-world object,1,1,1,1,no,no
245_CIF_vae_high_iteration30_X1_Y9,245,CIF,vae,high,30,1,9,1,not a real-world object,0,1,0,1,N/A,N/A
346_CIF_sd_high_iteration28_X6_Y2,346,CIF,sd,high,28,6,2,not a real-world object,6,1,0,1,0,N/A,N/A
172_CIF_gan_high_iteration146_X6_Y1,172,CIF,gan,high,146,6,1,not a real-world object,6,1,0,1,0,N/A,N/A
303_CIF_sd_high_iteration25_X1_Y8,303,CIF,sd,high,25,1,8,not a real-world object,6,1,1,1,0,no,N/A
210_CIF_gan_low_iteration138_X7_Y0,210,CIF,gan,low,138,7,0,not a real-world object,7,1,0,1,0,N/A,N/A
285_CIF_sd_high_iteration18_X1_Y9,285,CIF,sd,high,18,1,9,1,1,0,0,0,0,yes,yes
22_CIF_vae_low_iteration26_X8_Y0,22,CIF,vae,low,26,8,0,not a real-world object,2,1,1,1,0,no,N/A
126_CIF_gan_high_iteration7_X7_Y5,126,CIF,gan,high,7,7,5,7,7,0,0,0,0,yes,yes
324_CIF_sd_high_iteration1_X1_Y3,324,CIF,sd,high,1,1,3,1,9,0,1,0,0,N/A,yes
142_CIF_gan_high_iteration33_X1_Y9,142,CIF,gan,high,33,1,9,not a real-world object,9,1,1,1,0,no,N/A
149_CIF_gan_high_iteration9_X1_Y9,149,CIF,gan,high,9,1,9,not a real-world object,9,1,1,1,0,no,N/A
242_CIF_vae_high_iteration10_X7_Y2,242,CIF,vae,high,10,7,2,not a real-world object,7,1,0,1,0,N/A,N/A
256_CIF_vae_high_iteration71_X0_Y2,256,CIF,vae,high,71,0,2,not a real-world object,0,1,0,1,0,N/A,N/A
345_CIF_sd_high_iteration1_X8_Y3,345,CIF,sd,high,1,8,3,not a real-world object,5,1,1,1,0,no,N/A
311_CIF_sd_high_iteration1_X7_Y3,311,CIF,sd,high,1,7,3,not a real-world object,5,1,1,1,0,no,N/A
209_CIF_gan_low_iteration1_X6_Y5,209,CIF,gan,low,1,6,5,not a real-world object,5,1,1,1,0,no,N/A
40_CIF_sd_low_iteration1_X2_Y0,40,CIF,sd,low,1,2,0,2,2,0,0,0,0,yes,yes
279_CIF_sd_high_iteration49_X0_Y8,279,CIF,sd,high,49,0,8,2,0,1,0,0,0,N/A,yes
276_CIF_sd_high_iteration27_X3_Y6,276,CIF,sd,high,27,3,6,not a real-world object,not a real-world object,1,1,1,1,no,no
170_CIF_gan_high_iteration1_X5_Y6,170,CIF,gan,high,1,5,6,not a real-world object,5,1,0,1,0,N/A,N/A
244_CIF_vae_high_iteration46_X1_Y8,244,CIF,vae,high,46,1,8,not a real-world object,1,1,0,1,0,N/A,N/A
70_CIF_sd_low_iteration56_X9_Y7,70,CIF,sd,low,56,9,7,9,9,0,0,0,0,yes,yes
88_CIF_sd_low_iteration113_X8_Y6,88,CIF,sd,low,113,8,6,8,8,0,0,0,0,yes,yes
226_CIF_vae_high_iteration26_X3_Y7,226,CIF,vae,high,26,3,7,2,7,1,1,0,0,no,yes
291_CIF_sd_high_iteration4_X9_Y7,291,CIF,sd,high,4,9,7,1,9,1,0,0,0,N/A,yes
248_CIF_vae_high_iteration22_X0_Y2,248,CIF,vae,high,22,0,2,2,2,1,1,0,0,no,yes
266_CIF_sd_high_iteration17_X9_Y6,266,CIF,sd,high,17,9,6,not a real-world object,not a real-world object,1,1,1,1,no,no
110_CIF_gan_high_iteration3_X3_Y1,110,CIF,gan,high,3,3,1,5,7,1,1,0,0,no,yes
111_CIF_gan_high_iteration1_X2_Y6,111,CIF,gan,high,1,2,6,2,2,0,0,0,0,yes,yes
159_CIF_gan_high_iteration71_X6_Y2,159,CIF,gan,high,71,6,2,5,1,1,1,0,0,no,yes
50_CIF_sd_low_iteration245_X4_Y6,50,CIF,sd,low,245,4,6,1,9,1,1,0,0,no,yes
348_CIF_sd_high_iteration2_X7_Y4,348,CIF,sd,high,2,7,4,7,7,0,0,0,0,yes,yes
257_CIF_vae_high_iteration9_X3_Y2,257,CIF,vae,high,9,3,2,5,7,1,1,0,0,no,yes
183_CIF_gan_low_iteration78_X5_Y3,183,CIF,gan,low,78,5,3,4,5,1,0,0,0,N/A,yes
58_CIF_sd_low_iteration126_X3_Y1,58,CIF,sd,low,126,3,1,3,5,0,1,0,0,N/A,yes
307_CIF_sd_high_iteration16_X7_Y5,307,CIF,sd,high,16,7,5,7,7,0,0,0,0,yes,yes
186_CIF_gan_low_iteration87_X3_Y5,186,CIF,gan,low,87,3,5,not a real-world object,5,1,1,1,0,no,N/A
101_CIF_sd_low_iteration195_X3_Y8,101,CIF,sd,low,195,3,8,not a real-world object,5,1,1,1,0,no,N/A
152_CIF_gan_high_iteration9_X3_Y5,152,CIF,gan,high,9,3,5,not a real-world object,not a real-world object,1,1,1,1,no,no
155_CIF_gan_high_iteration51_X5_Y3,155,CIF,gan,high,51,5,3,5,5,0,0,0,0,yes,yes
233_CIF_vae_high_iteration5_X3_Y5,233,CIF,vae,high,5,3,5,not a real-world object,1,1,1,1,0,no,N/A
175_CIF_gan_high_iteration1_X3_Y0,175,CIF,gan,high,1,3,0,1,2,1,1,0,0,no,yes
131_CIF_gan_high_iteration1_X2_Y0,131,CIF,gan,high,1,2,0,not a real-world object,2,1,0,1,0,N/A,N/A
41_CIF_sd_low_iteration226_X5_Y4,41,CIF,sd,low,226,5,4,5,3,0,1,0,0,N/A,yes
117_CIF_gan_high_iteration5_X2_Y5,117,CIF,gan,high,5,2,5,2,2,0,0,0,0,yes,yes
182_CIF_gan_low_iteration195_X1_Y3,182,CIF,gan,low,195,1,3,1,1,0,0,0,0,yes,yes
261_CIF_vae_high_iteration40_X3_Y5,261,CIF,vae,high,40,3,5,4,3,1,0,0,0,N/A,yes
104_CIF_sd_low_iteration1_X7_Y3,104,CIF,sd,low,1,7,3,7,7,0,0,0,0,yes,yes
327_CIF_sd_high_iteration12_X3_Y5,327,CIF,sd,high,12,3,5,5,2,1,1,0,0,no,yes
350_CIF_sd_high_iteration1_X1_Y0,350,CIF,sd,high,1,1,0,9,0,1,1,0,0,no,yes
319_CIF_sd_high_iteration18_X2_Y0,319,CIF,sd,high,18,2,0,2,2,0,0,0,0,yes,yes
278_CIF_sd_high_iteration25_X3_Y6,278,CIF,sd,high,25,3,6,not a real-world object,not a real-world object,1,1,1,1,no,no
17_CIF_vae_low_iteration31_X3_Y7,17,CIF,vae,low,31,3,7,not a real-world object,not a real-world object,1,1,1,1,no,no
14_CIF_vae_low_iteration123_X4_Y3,14,CIF,vae,low,123,4,3,not a real-world object,not a real-world object,1,1,1,1,no,no
2_CIF_vae_low_iteration50_X3_Y5,2,CIF,vae,low,50,3,5,not a real-world object,not a real-world object,1,1,1,1,no,no
1_CIF_vae_low_iteration94_X0_Y2,1,CIF,vae,low,94,0,2,2,0,1,0,0,0,N/A,yes
10_CIF_vae_low_iteration129_X5_Y3,10,CIF,vae,low,129,5,3,3,not a real-world object,1,1,0,1,no,N/A
253_CIF_vae_high_iteration5_X3_Y5,253,CIF,vae,high,5,3,5,not a real-world object,not a real-world object,1,1,1,1,no,no
87_CIF_sd_low_iteration134_X1_Y0,87,CIF,sd,low,134,1,0,1,not a real-world object,0,1,0,1,N/A,N/A
317_CIF_sd_high_iteration46_X4_Y2,317,CIF,sd,high,46,4,2,not a real-world object,not a real-world object,1,1,1,1,no,no
154_CIF_gan_high_iteration26_X6_Y3,154,CIF,gan,high,26,6,3,6,not a real-world object,0,1,0,1,N/A,N/A
153_CIF_gan_high_iteration7_X0_Y9,153,CIF,gan,high,7,0,9,1,0,1,0,0,0,N/A,yes
215_CIF_gan_low_iteration71_X6_Y1,215,CIF,gan,low,71,6,1,not a real-world object,6,1,0,1,0,N/A,N/A
31_CIF_vae_low_iteration17_X0_Y8,31,CIF,vae,low,17,0,8,9,9,1,1,0,0,no,yes
29_CIF_vae_low_iteration82_X8_Y3,29,CIF,vae,low,82,8,3,1,8,1,0,0,0,N/A,yes
16_CIF_vae_low_iteration45_X1_Y3,16,CIF,vae,low,45,1,3,1,1,0,0,0,0,yes,yes
320_CIF_sd_high_iteration1_X0_Y8,320,CIF,sd,high,1,0,8,9,0,1,0,0,0,N/A,yes
133_CIF_gan_high_iteration35_X0_Y1,133,CIF,gan,high,35,0,1,0,2,0,1,0,0,N/A,yes
190_CIF_gan_low_iteration1_X3_Y7,190,CIF,gan,low,1,3,7,not a real-world object,3,1,0,1,0,N/A,N/A
298_CIF_sd_high_iteration1_X8_Y3,298,CIF,sd,high,1,8,3,not a real-world object,8,1,0,1,0,N/A,N/A
140_CIF_gan_high_iteration6_X3_Y6,140,CIF,gan,high,6,3,6,not a real-world object,0,1,1,1,0,no,N/A
106_CIF_sd_low_iteration1_X4_Y3,106,CIF,sd,low,1,4,3,5,5,1,1,0,0,no,yes
283_CIF_sd_high_iteration11_X8_Y3,283,CIF,sd,high,11,8,3,8,8,0,0,0,0,yes,yes
208_CIF_gan_low_iteration184_X7_Y5,208,CIF,gan,low,184,7,5,5,3,1,1,0,0,no,yes
235_CIF_vae_high_iteration24_X7_Y4,235,CIF,vae,high,24,7,4,5,4,1,1,0,0,no,yes
100_CIF_sd_low_iteration151_X1_Y9,100,CIF,sd,low,151,1,9,1,1,0,0,0,0,yes,yes
35_CIF_sd_low_iteration5_X4_Y0,35,CIF,sd,low,5,4,0,7,4,1,0,0,0,N/A,yes
83_CIF_sd_low_iteration140_X5_Y3,83,CIF,sd,low,140,5,3,5,5,0,0,0,0,yes,yes
204_CIF_gan_low_iteration211_X5_Y4,204,CIF,gan,low,211,5,4,7,7,1,1,0,0,no,yes
212_CIF_gan_low_iteration215_X2_Y0,212,CIF,gan,low,215,2,0,5,2,1,0,0,0,N/A,yes
72_CIF_sd_low_iteration23_X0_Y8,72,CIF,sd,low,23,0,8,0,0,0,0,0,0,yes,yes
162_CIF_gan_high_iteration1_X3_Y5,162,CIF,gan,high,1,3,5,0,5,1,1,0,0,no,yes
0_CIF_vae_low_iteration87_X2_Y0,0,CIF,vae,low,87,2,0,2,2,0,0,0,0,yes,yes
284_CIF_sd_high_iteration7_X8_Y3,284,CIF,sd,high,7,8,3,8,8,0,0,0,0,yes,yes
30_CIF_vae_low_iteration219_X3_Y8,30,CIF,vae,low,219,3,8,2,6,1,1,0,0,no,yes
219_CIF_gan_low_iteration14_X5_Y2,219,CIF,gan,low,14,5,2,2,5,1,0,0,0,N/A,yes
340_CIF_sd_high_iteration10_X8_Y0,340,CIF,sd,high,10,8,0,8,4,0,1,0,0,N/A,yes
281_CIF_sd_high_iteration1_X1_Y3,281,CIF,sd,high,1,1,3,1,1,0,0,0,0,yes,yes
220_CIF_gan_low_iteration79_X8_Y0,220,CIF,gan,low,79,8,0,2,5,1,1,0,0,no,yes
6_CIF_vae_low_iteration36_X3_Y5,6,CIF,vae,low,36,3,5,0,5,1,1,0,0,no,yes
135_CIF_gan_high_iteration15_X1_Y9,135,CIF,gan,high,15,1,9,9,9,1,1,0,0,no,yes
86_CIF_sd_low_iteration179_X0_Y8,86,CIF,sd,low,179,0,8,2,2,1,1,0,0,no,yes
48_CIF_sd_low_iteration31_X7_Y4,48,CIF,sd,low,31,7,4,7,7,0,0,0,0,yes,yes
51_CIF_sd_low_iteration62_X0_Y8,51,CIF,sd,low,62,0,8,0,not a real-world object,0,1,0,1,N/A,N/A
310_CIF_sd_high_iteration22_X7_Y3,310,CIF,sd,high,22,7,3,7,7,0,0,0,0,yes,yes
97_CIF_sd_low_iteration1_X7_Y4,97,CIF,sd,low,1,7,4,4,not a real-world object,1,1,0,1,no,N/A
108_CIF_sd_low_iteration51_X4_Y3,108,CIF,sd,low,51,4,3,4,7,0,1,0,0,N/A,yes
64_CIF_sd_low_iteration162_X0_Y8,64,CIF,sd,low,162,0,8,2,2,1,1,0,0,no,yes
331_CIF_sd_high_iteration1_X5_Y4,331,CIF,sd,high,1,5,4,5,not a real-world object,0,1,0,1,N/A,N/A
273_CIF_sd_high_iteration18_X8_Y3,273,CIF,sd,high,18,8,3,8,not a real-world object,0,1,0,1,N/A,N/A
166_CIF_gan_high_iteration1_X2_Y0,166,CIF,gan,high,1,2,0,5,not a real-world object,1,1,0,1,no,N/A
47_CIF_sd_low_iteration14_X5_Y2,47,CIF,sd,low,14,5,2,5,5,0,0,0,0,yes,yes
274_CIF_sd_high_iteration10_X2_Y3,274,CIF,sd,high,10,2,3,2,2,0,0,0,0,yes,yes
25_CIF_vae_low_iteration38_X7_Y4,25,CIF,vae,low,38,7,4,5,not a real-world object,1,1,0,1,no,N/A
294_CIF_sd_high_iteration20_X2_Y4,294,CIF,sd,high,20,2,4,not a real-world object,not a real-world object,1,1,1,1,no,no
77_CIF_sd_low_iteration36_X4_Y2,77,CIF,sd,low,36,4,2,4,4,0,0,0,0,yes,yes
347_CIF_sd_high_iteration1_X9_Y8,347,CIF,sd,high,1,9,8,1,1,1,1,0,0,no,yes
38_CIF_sd_low_iteration245_X3_Y6,38,CIF,sd,low,245,3,6,5,not a real-world object,1,1,0,1,no,N/A
201_CIF_gan_low_iteration1_X3_Y5,201,CIF,gan,low,1,3,5,not a real-world object,not a real-world object,1,1,1,1,no,no
323_CIF_sd_high_iteration1_X6_Y3,323,CIF,sd,high,1,6,3,6,6,0,0,0,0,yes,yes
234_CIF_vae_high_iteration15_X3_Y7,234,CIF,vae,high,15,3,7,7,not a real-world object,1,1,0,1,no,N/A
199_CIF_gan_low_iteration1_X3_Y5,199,CIF,gan,low,1,3,5,not a real-world object,5,1,1,1,0,no,N/A
82_CIF_sd_low_iteration1_X1_Y3,82,CIF,sd,low,1,1,3,1,1,0,0,0,0,yes,yes
329_CIF_sd_high_iteration14_X1_Y3,329,CIF,sd,high,14,1,3,1,1,0,0,0,0,yes,yes
42_CIF_sd_low_iteration171_X4_Y3,42,CIF,sd,low,171,4,3,5,7,1,1,0,0,no,yes
272_CIF_sd_high_iteration46_X5_Y2,272,CIF,sd,high,46,5,2,5,5,0,0,0,0,yes,yes
289_CIF_sd_high_iteration25_X3_Y5,289,CIF,sd,high,25,3,5,5,3,1,0,0,0,N/A,yes
46_CIF_sd_low_iteration138_X4_Y3,46,CIF,sd,low,138,4,3,not a real-world object,4,1,0,1,0,N/A,N/A
270_CIF_sd_high_iteration1_X7_Y4,270,CIF,sd,high,1,7,4,7,7,0,0,0,0,yes,yes
237_CIF_vae_high_iteration1_X4_Y6,237,CIF,vae,high,1,4,6,not a real-world object,6,1,1,1,0,no,N/A
213_CIF_gan_low_iteration1_X3_Y5,213,CIF,gan,low,1,3,5,5,5,1,1,0,0,no,yes
39_CIF_sd_low_iteration78_X4_Y7,39,CIF,sd,low,78,4,7,4,2,0,1,0,0,N/A,yes
267_CIF_sd_high_iteration6_X8_Y3,267,CIF,sd,high,6,8,3,not a real-world object,2,1,1,1,0,no,N/A
299_CIF_sd_high_iteration1_X5_Y3,299,CIF,sd,high,1,5,3,not a real-world object,5,1,0,1,0,N/A,N/A
325_CIF_sd_high_iteration28_X8_Y1,325,CIF,sd,high,28,8,1,not a real-world object,1,1,1,1,0,no,N/A
43_CIF_sd_low_iteration118_X6_Y3,43,CIF,sd,low,118,6,3,not a real-world object,3,1,1,1,0,no,N/A
55_CIF_sd_low_iteration1_X5_Y3,55,CIF,sd,low,1,5,3,5,5,0,0,0,0,yes,yes
163_CIF_gan_high_iteration26_X9_Y1,163,CIF,gan,high,26,9,1,not a real-world object,1,1,1,1,0,no,N/A
275_CIF_sd_high_iteration18_X0_Y8,275,CIF,sd,high,18,0,8,0,0,0,0,0,0,yes,yes
309_CIF_sd_high_iteration9_X7_Y4,309,CIF,sd,high,9,7,4,not a real-world object,4,1,1,1,0,no,N/A
129_CIF_gan_high_iteration85_X6_Y3,129,CIF,gan,high,85,6,3,not a real-world object,6,1,0,1,0,N/A,N/A
12_CIF_vae_low_iteration151_X3_Y5,12,CIF,vae,low,151,3,5,2,2,1,1,0,0,no,yes
23_CIF_vae_low_iteration111_X5_Y3,23,CIF,vae,low,111,5,3,2,5,1,0,0,0,N/A,yes
177_CIF_gan_high_iteration3_X5_Y7,177,CIF,gan,high,3,5,7,not a real-world object,not a real-world object,1,1,1,1,no,no
85_CIF_sd_low_iteration57_X6_Y3,85,CIF,sd,low,57,6,3,6,6,0,0,0,0,yes,yes
161_CIF_gan_high_iteration46_X5_Y7,161,CIF,gan,high,46,5,7,not a real-world object,5,1,0,1,0,N/A,N/A
293_CIF_sd_high_iteration41_X3_Y5,293,CIF,sd,high,41,3,5,not a real-world object,5,1,1,1,0,no,N/A
202_CIF_gan_low_iteration171_X8_Y1,202,CIF,gan,low,171,8,1,8,8,0,0,0,0,yes,yes
185_CIF_gan_low_iteration104_X5_Y2,185,CIF,gan,low,104,5,2,not a real-world object,5,1,0,1,0,N/A,N/A
18_CIF_vae_low_iteration15_X7_Y4,18,CIF,vae,low,15,7,4,not a real-world object,7,1,0,1,0,N/A,N/A
184_CIF_gan_low_iteration46_X6_Y5,184,CIF,gan,low,46,6,5,not a real-world object,not a real-world object,1,1,1,1,no,no
28_CIF_vae_low_iteration5_X3_Y5,28,CIF,vae,low,5,3,5,not a real-world object,not a real-world object,1,1,1,1,no,no
145_CIF_gan_high_iteration1_X8_Y1,145,CIF,gan,high,1,8,1,not a real-world object,not a real-world object,1,1,1,1,no,no
15_CIF_vae_low_iteration13_X3_Y7,15,CIF,vae,low,13,3,7,not a real-world object,not a real-world object,1,1,1,1,no,no
308_CIF_sd_high_iteration36_X8_Y0,308,CIF,sd,high,36,8,0,not a real-world object,8,1,0,1,0,N/A,N/A
34_CIF_sd_low_iteration87_X3_Y0,34,CIF,sd,low,87,3,0,3,not a real-world object,0,1,0,1,N/A,N/A
121_CIF_gan_high_iteration48_X6_Y3,121,CIF,gan,high,48,6,3,not a real-world object,not a real-world object,1,1,1,1,no,no
115_CIF_gan_high_iteration1_X3_Y7,115,CIF,gan,high,1,3,7,not a real-world object,not a real-world object,1,1,1,1,no,no
118_CIF_gan_high_iteration6_X7_Y3,118,CIF,gan,high,6,7,3,not a real-world object,not a real-world object,1,1,1,1,no,no
342_CIF_sd_high_iteration11_X7_Y3,342,CIF,sd,high,11,7,3,7,7,0,0,0,0,yes,yes
144_CIF_gan_high_iteration38_X1_Y6,144,CIF,gan,high,38,1,6,not a real-world object,not a real-world object,1,1,1,1,no,no
282_CIF_sd_high_iteration1_X2_Y3,282,CIF,sd,high,1,2,3,4,not a real-world object,1,1,0,1,no,N/A
224_CIF_gan_low_iteration247_X1_Y6,224,CIF,gan,low,247,1,6,6,not a real-world object,1,1,0,1,no,N/A
217_CIF_gan_low_iteration76_X0_Y2,217,CIF,gan,low,76,0,2,2,not a real-world object,1,1,0,1,no,N/A
59_CIF_sd_low_iteration48_X0_Y8,59,CIF,sd,low,48,0,8,0,not a real-world object,0,1,0,1,N/A,N/A
232_CIF_vae_high_iteration12_X3_Y2,232,CIF,vae,high,12,3,2,7,not a real-world object,1,1,0,1,no,N/A
