Image URL,ID,DATASET,TOOL,MUT_EXT,ITER,Expected,Predicted,ASS 1,ASS 2,Misclass Human 1,Misclass Human 2,Valid Human 1,Valid Human 2,Validity?,Label Preservation?
11_SVHN_vae_high_iteration7_X6_Y4,11,SVHN,vae,high,7,6,4,0,Not a House Number,1,1,0,1,N/A,no
36_SVHN_vae_high_iteration19_X0_Y2,36,SVHN,vae,high,19,0,2,9,0,1,0,0,0,yes,N/A
364_SVHN_sd_low_iteration1_X3_Y5,364,SVHN,sd,low,1,3,5,5,5,1,1,0,0,yes,no
162_SVHN_gan_low_iteration114_X1_Y4,162,SVHN,gan,low,114,1,4,Not a House Number,Not a House Number,1,1,1,1,no,N/A
10_SVHN_vae_high_iteration10_X1_Y3,10,SVHN,vae,high,10,1,3,2,Not a House Number,1,1,0,1,N/A,no
295_SVHN_sd_high_iteration8_X3_Y5,295,SVHN,sd,high,8,3,5,Not a House Number,5,1,1,1,0,N/A,no
101_SVHN_gan_high_iteration18_X7_Y4,101,SVHN,gan,high,18,7,4,Not a House Number,Not a House Number,1,1,1,1,no,N/A
362_SVHN_sd_low_iteration69_X8_Y9,362,SVHN,sd,low,69,8,9,8,Not a House Number,0,1,0,1,N/A,N/A
235_SVHN_sd_high_iteration2_X4_Y1,235,SVHN,sd,high,2,4,1,1,4,1,0,0,0,yes,N/A
99_SVHN_gan_high_iteration29_X5_Y6,99,SVHN,gan,high,29,5,6,3,Not a House Number,1,1,0,1,N/A,no
130_SVHN_gan_high_iteration6_X7_Y6,130,SVHN,gan,high,6,7,6,Not a House Number,Not a House Number,1,1,1,1,no,N/A
291_SVHN_sd_high_iteration1_X2_Y1,291,SVHN,sd,high,1,2,1,5,Not a House Number,1,1,0,1,N/A,no
301_SVHN_sd_high_iteration26_X0_Y1,301,SVHN,sd,high,26,0,1,0,Not a House Number,0,1,0,1,N/A,N/A
54_SVHN_vae_high_iteration17_X4_Y1,54,SVHN,vae,high,17,4,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
206_SVHN_vae_low_iteration105_X7_Y3,206,SVHN,vae,low,105,7,3,3,3,1,1,0,0,yes,no
350_SVHN_sd_low_iteration196_X0_Y8,350,SVHN,sd,low,196,0,8,8,8,1,1,0,0,yes,no
125_SVHN_gan_high_iteration22_X7_Y1,125,SVHN,gan,high,22,7,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
204_SVHN_vae_low_iteration15_X9_Y0,204,SVHN,vae,low,15,9,0,Not a House Number,Not a House Number,1,1,1,1,no,N/A
147_SVHN_gan_high_iteration28_X3_Y1,147,SVHN,gan,high,28,3,1,2,2,1,1,0,0,yes,no
53_SVHN_vae_high_iteration69_X4_Y1,53,SVHN,vae,high,69,4,1,4,1,0,1,0,0,yes,N/A
55_SVHN_vae_high_iteration16_X2_Y8,55,SVHN,vae,high,16,2,8,2,2,0,0,0,0,yes,yes
144_SVHN_gan_high_iteration126_X7_Y2,144,SVHN,gan,high,126,7,2,Not a House Number,Not a House Number,1,1,1,1,no,N/A
110_SVHN_gan_high_iteration5_X1_Y4,110,SVHN,gan,high,5,1,4,Not a House Number,Not a House Number,1,1,1,1,no,N/A
143_SVHN_gan_high_iteration74_X9_Y0,143,SVHN,gan,high,74,9,0,8,9,1,0,0,0,yes,N/A
357_SVHN_sd_low_iteration149_X6_Y0,357,SVHN,sd,low,149,6,0,0,Not a House Number,1,1,0,1,N/A,no
46_SVHN_vae_high_iteration35_X3_Y5,46,SVHN,vae,high,35,3,5,Not a House Number,3,1,0,1,0,N/A,N/A
61_SVHN_vae_high_iteration11_X2_Y7,61,SVHN,vae,high,11,2,7,2,2,0,0,0,0,yes,yes
238_SVHN_sd_high_iteration1_X3_Y6,238,SVHN,sd,high,1,3,6,Not a House Number,Not a House Number,1,1,1,1,no,N/A
168_SVHN_gan_low_iteration1_X8_Y2,168,SVHN,gan,low,1,8,2,Not a House Number,Not a House Number,1,1,1,1,no,N/A
48_SVHN_vae_high_iteration38_X0_Y9,48,SVHN,vae,high,38,0,9,Not a House Number,Not a House Number,1,1,1,1,no,N/A
51_SVHN_vae_high_iteration20_X2_Y3,51,SVHN,vae,high,20,2,3,Not a House Number,Not a House Number,1,1,1,1,no,N/A
156_SVHN_gan_low_iteration30_X7_Y2,156,SVHN,gan,low,30,7,2,Not a House Number,2,1,1,1,0,N/A,no
289_SVHN_sd_high_iteration42_X1_Y7,289,SVHN,sd,high,42,1,7,Not a House Number,Not a House Number,1,1,1,1,no,N/A
186_SVHN_vae_low_iteration104_X1_Y4,186,SVHN,vae,low,104,1,4,Not a House Number,0,1,1,1,0,N/A,no
40_SVHN_vae_high_iteration97_X2_Y1,40,SVHN,vae,high,97,2,1,8,8,1,1,0,0,yes,no
131_SVHN_gan_high_iteration20_X2_Y7,131,SVHN,gan,high,20,2,7,Not a House Number,Not a House Number,1,1,1,1,no,N/A
331_SVHN_sd_low_iteration1_X8_Y6,331,SVHN,sd,low,1,8,6,Not a House Number,2,1,1,1,0,N/A,no
58_SVHN_vae_high_iteration4_X4_Y1,58,SVHN,vae,high,4,4,1,1,Not a House Number,1,1,0,1,N/A,no
329_SVHN_sd_low_iteration1_X5_Y1,329,SVHN,sd,low,1,5,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
188_SVHN_vae_low_iteration20_X0_Y4,188,SVHN,vae,low,20,0,4,Not a House Number,4,1,1,1,0,N/A,no
220_SVHN_sd_high_iteration4_X3_Y5,220,SVHN,sd,high,4,3,5,Not a House Number,5,1,1,1,0,N/A,no
83_SVHN_gan_high_iteration140_X0_Y9,83,SVHN,gan,high,140,0,9,0,0,0,0,0,0,yes,yes
378_SVHN_sd_low_iteration17_X8_Y4,378,SVHN,sd,low,17,8,4,Not a House Number,Not a House Number,1,1,1,1,no,N/A
150_SVHN_gan_low_iteration133_X3_Y8,150,SVHN,gan,low,133,3,8,5,3,1,0,0,0,yes,N/A
371_SVHN_sd_low_iteration103_X0_Y1,371,SVHN,sd,low,103,0,1,Not a House Number,0,1,0,1,0,N/A,N/A
38_SVHN_vae_high_iteration63_X4_Y8,38,SVHN,vae,high,63,4,8,Not a House Number,1,1,1,1,0,N/A,no
37_SVHN_vae_high_iteration30_X2_Y7,37,SVHN,vae,high,30,2,7,Not a House Number,7,1,1,1,0,N/A,no
185_SVHN_vae_low_iteration109_X4_Y6,185,SVHN,vae,low,109,4,6,Not a House Number,6,1,1,1,0,N/A,no
202_SVHN_vae_low_iteration212_X2_Y7,202,SVHN,vae,low,212,2,7,2,7,0,1,0,0,yes,N/A
104_SVHN_gan_high_iteration74_X1_Y4,104,SVHN,gan,high,74,1,4,7,2,1,1,0,0,yes,no
312_SVHN_sd_high_iteration1_X6_Y5,312,SVHN,sd,high,1,6,5,Not a House Number,5,1,1,1,0,N/A,no
368_SVHN_sd_low_iteration104_X4_Y3,368,SVHN,sd,low,104,4,3,4,4,0,0,0,0,yes,yes
199_SVHN_vae_low_iteration126_X8_Y6,199,SVHN,vae,low,126,8,6,8,8,0,0,0,0,yes,yes
310_SVHN_sd_high_iteration1_X7_Y3,310,SVHN,sd,high,1,7,3,Not a House Number,6,1,1,1,0,N/A,no
159_SVHN_gan_low_iteration161_X1_Y3,159,SVHN,gan,low,161,1,3,Not a House Number,4,1,1,1,0,N/A,no
320_SVHN_sd_low_iteration7_X8_Y3,320,SVHN,sd,low,7,8,3,8,8,0,0,0,0,yes,yes
354_SVHN_sd_low_iteration99_X9_Y5,354,SVHN,sd,low,99,9,5,8,9,1,0,0,0,yes,N/A
91_SVHN_gan_high_iteration22_X4_Y1,91,SVHN,gan,high,22,4,1,Not a House Number,9,1,1,1,0,N/A,no
158_SVHN_gan_low_iteration52_X4_Y3,158,SVHN,gan,low,52,4,3,4,4,0,0,0,0,yes,yes
332_SVHN_sd_low_iteration144_X1_Y7,332,SVHN,sd,low,144,1,7,Not a House Number,Not a House Number,1,1,1,1,no,N/A
34_SVHN_vae_high_iteration26_X1_Y0,34,SVHN,vae,high,26,1,0,1,Not a House Number,0,1,0,1,N/A,N/A
212_SVHN_vae_low_iteration210_X0_Y9,212,SVHN,vae,low,210,0,9,Not a House Number,Not a House Number,1,1,1,1,no,N/A
151_SVHN_gan_low_iteration23_X0_Y1,151,SVHN,gan,low,23,0,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
201_SVHN_vae_low_iteration53_X3_Y2,201,SVHN,vae,low,53,3,2,Not a House Number,8,1,1,1,0,N/A,no
172_SVHN_gan_low_iteration82_X8_Y2,172,SVHN,gan,low,82,8,2,Not a House Number,Not a House Number,1,1,1,1,no,N/A
16_SVHN_vae_high_iteration24_X1_Y0,16,SVHN,vae,high,24,1,0,Not a House Number,0,1,1,1,0,N/A,no
323_SVHN_sd_low_iteration95_X5_Y2,323,SVHN,sd,low,95,5,2,Not a House Number,Not a House Number,1,1,1,1,no,N/A
348_SVHN_sd_low_iteration135_X4_Y1,348,SVHN,sd,low,135,4,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
7_SVHN_vae_high_iteration21_X4_Y1,7,SVHN,vae,high,21,4,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
47_SVHN_vae_high_iteration87_X2_Y3,47,SVHN,vae,high,87,2,3,2,2,0,0,0,0,yes,yes
359_SVHN_sd_low_iteration40_X0_Y1,359,SVHN,sd,low,40,0,1,0,0,0,0,0,0,yes,yes
209_SVHN_vae_low_iteration51_X2_Y8,209,SVHN,vae,low,51,2,8,2,2,0,0,0,0,yes,yes
319_SVHN_sd_low_iteration227_X1_Y0,319,SVHN,sd,low,227,1,0,Not a House Number,Not a House Number,1,1,1,1,no,N/A
41_SVHN_vae_high_iteration20_X4_Y6,41,SVHN,vae,high,20,4,6,8,8,1,1,0,0,yes,no
64_SVHN_vae_high_iteration25_X1_Y8,64,SVHN,vae,high,25,1,8,9,Not a House Number,1,1,0,1,N/A,no
269_SVHN_sd_high_iteration1_X7_Y1,269,SVHN,sd,high,1,7,1,7,2,0,1,0,0,yes,N/A
251_SVHN_sd_high_iteration2_X9_Y0,251,SVHN,sd,high,2,9,0,Not a House Number,Not a House Number,1,1,1,1,no,N/A
197_SVHN_vae_low_iteration63_X5_Y6,197,SVHN,vae,low,63,5,6,5,5,0,0,0,0,yes,yes
373_SVHN_sd_low_iteration1_X3_Y5,373,SVHN,sd,low,1,3,5,3,3,0,0,0,0,yes,yes
253_SVHN_sd_high_iteration130_X9_Y4,253,SVHN,sd,high,130,9,4,9,9,0,0,0,0,yes,yes
358_SVHN_sd_low_iteration170_X6_Y5,358,SVHN,sd,low,170,6,5,Not a House Number,3,1,1,1,0,N/A,no
250_SVHN_sd_high_iteration7_X3_Y8,250,SVHN,sd,high,7,3,8,Not a House Number,3,1,0,1,0,N/A,N/A
141_SVHN_gan_high_iteration85_X0_Y1,141,SVHN,gan,high,85,0,1,Not a House Number,Not a House Number,1,1,1,1,no,N/A
15_SVHN_vae_high_iteration2_X8_Y6,15,SVHN,vae,high,2,8,6,Not a House Number,6,1,1,1,0,N/A,no
85_SVHN_gan_high_iteration154_X1_Y7,85,SVHN,gan,high,154,1,7,Not a House Number,Not a House Number,1,1,1,1,no,N/A
345_SVHN_sd_low_iteration30_X1_Y4,345,SVHN,sd,low,30,1,4,Not a House Number,Not a House Number,1,1,1,1,no,N/A
246_SVHN_sd_high_iteration1_X5_Y6,246,SVHN,sd,high,1,5,6,Not a House Number,5,1,0,1,0,N/A,N/A
19_SVHN_vae_high_iteration43_X4_Y1,19,SVHN,vae,high,43,4,1,Not a House Number,4,1,0,1,0,N/A,N/A
333_SVHN_sd_low_iteration71_X5_Y3,333,SVHN,sd,low,71,5,3,Not a House Number,5,1,0,1,0,N/A,N/A
299_SVHN_sd_high_iteration1_X5_Y9,299,SVHN,sd,high,1,5,9,0,Not a House Number,1,1,0,1,N/A,no
266_SVHN_sd_high_iteration1_X5_Y6,266,SVHN,sd,high,1,5,6,6,Not a House Number,1,1,0,1,N/A,no
344_SVHN_sd_low_iteration129_X1_Y9,344,SVHN,sd,low,129,1,9,Not a House Number,Not a House Number,1,1,1,1,no,N/A
114_SVHN_gan_high_iteration37_X1_Y4,114,SVHN,gan,high,37,1,4,Not a House Number,Not a House Number,1,1,1,1,no,N/A
24_SVHN_vae_high_iteration24_X1_Y0,24,SVHN,vae,high,24,1,0,Not a House Number,Not a House Number,1,1,1,1,no,N/A
62_SVHN_vae_high_iteration43_X1_Y6,62,SVHN,vae,high,43,1,6,Not a House Number,Not a House Number,1,1,1,1,no,N/A
268_SVHN_sd_high_iteration1_X0_Y8,268,SVHN,sd,high,1,0,8,8,Not a House Number,1,1,0,1,N/A,no
365_SVHN_sd_low_iteration158_X6_Y8,365,SVHN,sd,low,158,6,8,1,Not a House Number,1,1,0,1,N/A,no
187_SVHN_vae_low_iteration217_X1_Y2,187,SVHN,vae,low,217,1,2,Not a House Number,Not a House Number,1,1,1,1,no,N/A
175_SVHN_gan_low_iteration55_X3_Y1,175,SVHN,gan,low,55,3,1,2,2,1,1,0,0,yes,no
255_SVHN_sd_high_iteration1_X4_Y2,255,SVHN,sd,high,1,4,2,Not a House Number,Not a House Number,1,1,1,1,no,N/A
192_SVHN_vae_low_iteration89_X8_Y6,192,SVHN,vae,low,89,8,6,8,8,0,0,0,0,yes,yes
342_SVHN_sd_low_iteration113_X9_Y8,342,SVHN,sd,low,113,9,8,8,9,1,0,0,0,yes,N/A
376_SVHN_sd_low_iteration108_X7_Y1,376,SVHN,sd,low,108,7,1,7,7,0,0,0,0,yes,yes
22_SVHN_vae_high_iteration8_X7_Y1,22,SVHN,vae,high,8,7,1,1,7,1,0,0,0,yes,N/A
75_SVHN_gan_high_iteration34_X9_Y0,75,SVHN,gan,high,34,9,0,0,9,1,0,0,0,yes,N/A
164_SVHN_gan_low_iteration54_X0_Y6,164,SVHN,gan,low,54,0,6,0,Not a House Number,0,1,0,1,N/A,N/A
263_SVHN_sd_high_iteration9_X9_Y2,263,SVHN,sd,high,9,9,2,Not a House Number,5,1,1,1,0,N/A,no
315_SVHN_sd_low_iteration206_X4_Y6,315,SVHN,sd,low,206,4,6,Not a House Number,Not a House Number,1,1,1,1,no,N/A
50_SVHN_vae_high_iteration25_X1_Y4,50,SVHN,vae,high,25,1,4,1,Not a House Number,0,1,0,1,N/A,N/A
189_SVHN_vae_low_iteration61_X1_Y0,189,SVHN,vae,low,61,1,0,2,0,1,1,0,0,yes,no
13_SVHN_vae_high_iteration31_X1_Y4,13,SVHN,vae,high,31,1,4,0,1,1,0,0,0,yes,N/A
275_SVHN_sd_high_iteration4_X6_Y0,275,SVHN,sd,high,4,6,0,5,5,1,1,0,0,yes,no
215_SVHN_vae_low_iteration181_X2_Y1,215,SVHN,vae,low,181,2,1,8,8,1,1,0,0,yes,no
89_SVHN_gan_high_iteration12_X8_Y6,89,SVHN,gan,high,12,8,6,8,8,0,0,0,0,yes,yes
128_SVHN_gan_high_iteration73_X9_Y0,128,SVHN,gan,high,73,9,0,9,9,0,0,0,0,yes,yes
84_SVHN_gan_high_iteration25_X1_Y0,84,SVHN,gan,high,25,1,0,2,2,1,1,0,0,yes,no
272_SVHN_sd_high_iteration1_X4_Y9,272,SVHN,sd,high,1,4,9,Not a House Number,Not a House Number,1,1,1,1,no,N/A
77_SVHN_gan_high_iteration1_X5_Y4,77,SVHN,gan,high,1,5,4,3,Not a House Number,1,1,0,1,N/A,no
174_SVHN_gan_low_iteration182_X5_Y6,174,SVHN,gan,low,182,5,6,5,5,0,0,0,0,yes,yes
97_SVHN_gan_high_iteration19_X1_Y4,97,SVHN,gan,high,19,1,4,Not a House Number,Not a House Number,1,1,1,1,no,N/A
252_SVHN_sd_high_iteration1_X3_Y7,252,SVHN,sd,high,1,3,7,0,Not a House Number,1,1,0,1,N/A,no
221_SVHN_sd_high_iteration1_X2_Y0,221,SVHN,sd,high,1,2,0,9,Not a House Number,1,1,0,1,N/A,no
363_SVHN_sd_low_iteration228_X7_Y1,363,SVHN,sd,low,228,7,1,8,7,1,0,0,0,yes,N/A
196_SVHN_vae_low_iteration165_X3_Y2,196,SVHN,vae,low,165,3,2,3,3,0,0,0,0,yes,yes
227_SVHN_sd_high_iteration2_X6_Y5,227,SVHN,sd,high,2,6,5,Not a House Number,Not a House Number,1,1,1,1,no,N/A
237_SVHN_sd_high_iteration42_X3_Y2,237,SVHN,sd,high,42,3,2,3,3,0,0,0,0,yes,yes
26_SVHN_vae_high_iteration20_X6_Y8,26,SVHN,vae,high,20,6,8,8,8,1,1,0,0,yes,no
336_SVHN_sd_low_iteration42_X2_Y7,336,SVHN,sd,low,42,2,7,2,2,0,0,0,0,yes,yes
129_SVHN_gan_high_iteration118_X1_Y3,129,SVHN,gan,high,118,1,3,3,Not a House Number,1,1,0,1,N/A,no
107_SVHN_gan_high_iteration11_X9_Y0,107,SVHN,gan,high,11,9,0,Not a House Number,Not a House Number,1,1,1,1,no,N/A
274_SVHN_sd_high_iteration9_X0_Y9,274,SVHN,sd,high,9,0,9,9,Not a House Number,1,1,0,1,N/A,no
